,id,author_last,author_first,author,gender,title,year,genre,filename,sentence
701,16963,Daviess,Maria Thompson,"Daviess, Maria Thompson",female,The Golden Bird,1918,novel,PG16963_raw.txt,"The primary need of a woman's nature is always supposed to be love, but very suddenly I discovered that in my case it was money, a lot of it and quick."
702,46503,Thompson,Arthur R. (Arthur Ripley),"Thompson, Arthur R. (Arthur Ripley)",male,Gold-Seeking on the Dalton Trail,1900,novel,PG46503_raw.txt,"In a large, old-fashioned dwelling which overlooked from its hillside perch a beautiful city of Connecticut, the Bradford family was assembled for the evening meal."
703,1447,Oppenheim,E. Phillips (Edward Phillips),"Oppenheim, E. Phillips (Edward Phillips)",male,The Illustrious Prince,1919,crime novel,PG1447_raw.txt,"At the southern part of Ohio, where the river of that name swerves from its south-western course, and makes a sweeping bend toward the north-west, many years ago stood a large and imposing dwelling."
704,40414,Hope,Anthony,"Hope, Anthony",male,Sophy of Kravonia,1905,adventure novel,PG40414_raw.txt,That is the name--and in the interest of euphony it is impossible not to regret the fact.
705,28366,Lane,Elinor Macartney,"Lane, Elinor Macartney",female,Nancy Stair,1904,novel,PG28366_raw.txt,"By reason of a breakneck ride through the Pentlands, I entered the dining-room at Stair very late one morning to find Huey MacGrath in a state of deepest gloom waiting to serve my breakfast."
706,28376,Warner,Susan,"Warner, Susan",female,"The Wide, Wide World",1850,novel,PG28376_raw.txt,"There was no one else in the room. Driven thus to her own resources, Ellen betook herself to the window and sought amusement there."
707,53220,Gardiner,A. Paul,"Gardiner, A. Paul",unknown,"The House of Cariboo, and Other Tales from Arcadia",1900,novel,PG53220_raw.txt,"On a rise of ground at “The Front” called the “Nole” stands the Cariboo House, conspicuously alone."
708,45405,Greene,Homer,"Greene, Homer",male,Pickett's Gap,1902,young adult,PG45405_raw.txt,"Abner Pickett stood in the dusty roadway, rake in hand, watching a load of late August clover, that day harvested, move slowly toward the barn."
709,28551,Garland,Hamlin,"Garland, Hamlin",male,The Trail of the Goldseekers,1899,novel,PG28551_raw.txt,"A little over a year ago a small steamer swung to at a Seattle wharf, and emptied a flood of eager passengers upon the dock."
710,4994,Rockwood,Roy,"Rockwood, Roy",male,Five Thousand Miles Underground,1908,science fiction,PG4994_raw.txt,“Washington!
711,28637,Oliphant,Mrs. (Margaret),"Oliphant, Mrs. (Margaret)",female,The Marriage of Elinor,1891,novel,PG28637_raw.txt,"John Tatham, barrister-at-law, received one summer morning as he sat at breakfast the following letter."
712,9780,Haggard,H. Rider (Henry Rider),"Haggard, H. Rider (Henry Rider)",male,Fair Margaret,1907,adventure novel,PG9780_raw.txt,"There had been a great show in London, for that day his Grace opened the newly convened Parliament, and announced to his faithful people—who received the news with much cheering, since war is ever popular at first—his intention of invading France, and of leading the English armies in person."
713,9924,Locke,William John,"Locke, William John",male,Viviette,1918,novel,PG9924_raw.txt,"""Dick,"" said Viviette, ""ought to go about in skins like a primitive man."""
714,6236,Parker,Gilbert,"Parker, Gilbert",male,The Battle of the Strong,1898,novel,PG6236_raw.txt,"In all the world there is no coast like the coast of Jersey; so treacherous, so snarling; serrated with rocks seen and unseen, tortured from the Antarctic world with the devouring force of a monstrous serpent projecting itself towards its prey."
715,29400,Dawson,Coningsby,"Dawson, Coningsby",male,Murder Point,1910,crime novel,PG29400_raw.txt,"John Granger, agent on the Last Chance River in the interests of Garnier, Parwin, and Wrath, independent traders in the territory of Keewatin, sat alone in his store at Murder Point."
716,1260,Brontë,Charlotte,"Brontë, Charlotte",female,Jane Eyre,1847,novel,PG1260_raw.txt,There was no possibility of taking a walk that day.
717,30642,Brownell,Gertrude Hall,"Brownell, Gertrude Hall",female,Aurora the Magnificent,1916,novel,PG30642_raw.txt,"Near sunset, one day in early October, not too long ago for some of us to remember with distinctness, Mr. Foss, United States consul at Florence, Italy, took a cab, as on other days, to the Porta Romana."
718,25430,Lewis,Sinclair,"Lewis, Sinclair",male,The Innocents,1917,novel,PG25430_raw.txt,"They called each other ""Father"" and ""Mother."""
